id,label,properties
11,command,"{""﻿commandment_number"": ""11"", ""commandment_concept"": ""Emulate G-d's ways "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 28:9"", ""scripture_english"": ""\""The LORD will establish you as a holy people to Himself, as He swore to you, if you keep the commandments of the LORD your God and walk in His ways."", ""scripture_hebrew"": ""ט יְקִימְךָ יְהוָה לוֹ לְעַם קָדוֹשׁ, כַּאֲשֶׁר נִשְׁבַּע-לָךְ: כִּי תִשְׁמֹר, אֶת-מִצְו‍ֹת יְהוָה אֱלֹהֶיךָ, וְהָלַכְתָּ, בִּדְרָכָיו."", ""scripture_greek"": ""9 ἀναστήσαι σε κύριος ὁ θεός σου ἑαυτῷ λαὸν ἅγιον, ὃν τρόπον ὤμοσεν τοῖς πατράσιν σου, ἐὰν εἰσακούσῃς τῆς φωνῆς κυρίου τοῦ θεοῦ σου καὶ πορευθῇς ἐν ταῖς ὁδοῖς αὐτοῦ·  "", ""scripture_parashah"": ""Ki Tavo"", ""sefer_hachinuch_number"": """", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""G-d""}"
12,command,"{""﻿commandment_number"": ""12"", ""commandment_concept"": ""Cleave to those who know G-d (and His Law)"", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 10:20"", ""scripture_english"": ""\""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name."", ""scripture_hebrew"": ""  אֶת־יְהוָה אֱלֹהֶיךָ תִּירָא אֹתוֹ תַעֲבֹד וּבוֹ תִדְבָּק וּבִשְׁמוֹ תִּשָּׁבֵעַ׃ ‬"", ""scripture_greek"": ""κύριον τὸν θεόν σου φοβηθήσῃ καὶ αὐτῷ λατρεύσεις καὶ πρὸς αὐτὸν κολληθήσῃ καὶ τῷ ὀνόματι αὐτοῦ ὀμῇ"", ""scripture_parashah"": ""Ekev"", ""sefer_hachinuch_number"": ""434"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""The Foundations of Torah"", ""p119f_category"": ""G-d""}"
13,command,"{""﻿commandment_number"": ""13"", ""commandment_concept"": ""Love other covenant members "", ""commandment_polarity"": ""P"", ""reference_id"": ""LEV 19:18"", ""scripture_english"": ""'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."", ""scripture_hebrew"": ""יח לֹא-תִקֹּם וְלֹא-תִטֹּר אֶת-בְּנֵי עַמֶּךָ, וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ: אֲנִי, יְהוָה."", ""scripture_greek"": ""18 καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ, καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν· ἐγώ εἰμι κύριος.  "", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""243"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
14,command,"{""﻿commandment_number"": ""14"", ""commandment_concept"": ""Show love towards foreigners "", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 10:19"", ""scripture_english"": ""\""So show your love for the alien, for you were aliens in the land of Egypt."", ""scripture_hebrew"": ""יט וַאֲהַבְתֶּם, אֶת-הַגֵּר: כִּי-גֵרִים הֱיִיתֶם, בְּאֶרֶץ מִצְרָיִם."", ""scripture_greek"": ""19 καὶ ἀγαπήσετε τὸν προσήλυτον· προσήλυτοι γὰρ ἦτε ἐν γῇ Αἰγύπτῳ.  "", ""scripture_parashah"": ""Ekev"", ""sefer_hachinuch_number"": ""431"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
15,command,"{""﻿commandment_number"": ""15"", ""commandment_concept"": ""Do not hate fellow covenant members "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:17"", ""scripture_english"": ""'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."", ""scripture_hebrew"": ""יז לֹא-תִשְׂנָא אֶת-אָחִיךָ, בִּלְבָבֶךָ; הוֹכֵחַ תּוֹכִיחַ אֶת-עֲמִיתֶךָ, וְלֹא-תִשָּׂא עָלָיו חֵטְא."", ""scripture_greek"": ""17 οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου, ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι᾿ αὐτὸν ἁμαρτίαν.  "", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""238"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
16,command,"{""﻿commandment_number"": ""16"", ""commandment_concept"": ""Reprove a neighbor who sins "", ""commandment_polarity"": ""P"", ""reference_id"": ""LEV 19:17"", ""scripture_english"": ""'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."", ""scripture_hebrew"": ""  לֹא־תִשְׂנָא אֶת־אָחִיךָ בִּלְבָבֶךָ הוֹכֵחַ תּוֹכִיחַ אֶת־עֲמִיתֶךָ וְלֹא־תִשָּׂא עָלָיו חֵטְא׃ ‬"", ""scripture_greek"": ""οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι' αὐτὸν ἁμαρτίαν"", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""239"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
17,command,"{""﻿commandment_number"": ""17"", ""commandment_concept"": ""Do not embarrass others "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:17"", ""scripture_english"": ""'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."", ""scripture_hebrew"": ""  לֹא־תִשְׂנָא אֶת־אָחִיךָ בִּלְבָבֶךָ הוֹכֵחַ תּוֹכִיחַ אֶת־עֲמִיתֶךָ וְלֹא־תִשָּׂא עָלָיו חֵטְא׃ ‬"", ""scripture_greek"": ""οὐ μισήσεις τὸν ἀδελφόν σου τῇ διανοίᾳ σου ἐλεγμῷ ἐλέγξεις τὸν πλησίον σου καὶ οὐ λήμψῃ δι' αὐτὸν ἁμαρτίαν"", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""240"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
18,command,"{""﻿commandment_number"": ""18"", ""commandment_concept"": ""Do not oppress the stranger "", ""commandment_polarity"": ""N"", ""reference_id"": ""EXO 22:21"", ""scripture_english"": ""\""You shall not wrong a stranger or oppress him, for you were strangers in the land of Egypt."", ""scripture_hebrew"": ""  וְגֵר לֹא־תוֹנֶה וְלֹא תִלְחָצֶנּוּ כִּי־גֵרִים הֱיִיתֶם בְּאֶרֶץ מִצְרָיִם׃ ‬"", ""scripture_greek"": ""22:20 καὶ προσήλυτον οὐ κακώσετε οὐδὲ μὴ θλίψητε αὐτόν ἦτε γὰρ προσήλυτοι ἐν γῇ αἰγύπτῳ"", ""scripture_parashah"": ""Mishpatim"", ""sefer_hachinuch_number"": ""63"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
19,command,"{""﻿commandment_number"": ""19"", ""commandment_concept"": ""Do not gossip about others "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:16"", ""scripture_english"": ""'You shall not go about as a slanderer among your people, and you are not to act against the life of your neighbor; I am the LORD."", ""scripture_hebrew"": ""טז לֹא-תֵלֵךְ רָכִיל בְּעַמֶּיךָ, לֹא תַעֲמֹד עַל-דַּם רֵעֶךָ: אֲנִי, יְהוָה."", ""scripture_greek"": ""16 οὐ πορεύσῃ δόλῳ ἐν τῷ ἔθνει σου, οὐκ ἐπισυστήσῃ ἐφ᾿ αἷμα τοῦ πλησίον σου· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  "", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""236"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
20,command,"{""﻿commandment_number"": ""20"", ""commandment_concept"": ""Do not take revenge "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:18"", ""scripture_english"": ""'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."", ""scripture_hebrew"": ""  לֹא־תִקֹּם וְלֹא־תִטֹּר אֶת־בְּנֵי עַמֶּךָ וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ אֲנִי יְהוָה׃ ‬"", ""scripture_greek"": ""καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν ἐγώ εἰμι κύριος"", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""241"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
21,command,"{""﻿commandment_number"": ""21"", ""commandment_concept"": ""Do not bear a grudge "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:18"", ""scripture_english"": ""'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."", ""scripture_hebrew"": ""  לֹא־תִקֹּם וְלֹא־תִטֹּר אֶת־בְּנֵי עַמֶּךָ וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ אֲנִי יְהוָה׃ ‬"", ""scripture_greek"": ""καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν ἐγώ εἰμι κύριος"", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""242"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Personal Development"", ""p119f_category"": ""Love""}"
22,command,"{""﻿commandment_number"": ""22"", ""commandment_concept"": ""Learn the Law (Torah)"", ""commandment_polarity"": ""P"", ""reference_id"": ""DEU 6:7"", ""scripture_english"": ""\""You shall teach them diligently to your sons and shall talk of them when you sit in your house and when you walk by the way and when you lie down and when you rise up."", ""scripture_hebrew"": ""  וְשִׁנַּנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶּרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ׃ ‬"", ""scripture_greek"": ""καὶ προβιβάσεις αὐτὰ τοὺς υἱούς σου καὶ λαλήσεις ἐν αὐτοῖς καθήμενος ἐν οἴκῳ καὶ πορευόμενος ἐν ὁδῷ καὶ κοιταζόμενος καὶ διανιστάμενος"", ""scripture_parashah"": ""Vaet Chanan"", ""sefer_hachinuch_number"": ""419"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Torah Study"", ""p119f_category"": ""Torah""}"
23,command,"{""﻿commandment_number"": ""23"", ""commandment_concept"": ""Honor the wise and the aged (who know and teach G-d's Law)"", ""commandment_polarity"": ""P"", ""reference_id"": ""LEV 19:32"", ""scripture_english"": ""'You shall rise up before the grayheaded and honor the aged, and you shall revere your God; I am the LORD."", ""scripture_hebrew"": ""לב מִפְּנֵי שֵׂיבָה תָּקוּם, וְהָדַרְתָּ פְּנֵי זָקֵן; וְיָרֵאתָ מֵּאֱלֹהֶיךָ, אֲנִי יְהוָה. {ס}"", ""scripture_greek"": ""32 ἀπὸ προσώπου πολιοῦ ἐξαναστήσῃ καὶ τιμήσεις πρόσωπον πρεσβυτέρου καὶ φοβηθήσῃ τὸν θεόν σου· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  "", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""257"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Torah Study"", ""p119f_category"": ""Torah""}"
24,command,"{""﻿commandment_number"": ""24"", ""commandment_concept"": ""Do not inquire into idolatry "", ""commandment_polarity"": ""N"", ""reference_id"": ""LEV 19:4"", ""scripture_english"": ""'Do not turn to idols or make for yourselves molten gods; I am the LORD your God."", ""scripture_hebrew"": ""ד אַל-תִּפְנוּ, אֶל-הָאֱלִילִם, וֵאלֹהֵי מַסֵּכָה, לֹא תַעֲשׂוּ לָכֶם: אֲנִי, יְהוָה אֱלֹהֵיכֶם."", ""scripture_greek"": ""4 οὐκ ἐπακολουθήσετε εἰδώλοις καὶ θεοὺς χωνευτοὺς οὐ ποιήσετε ὑμῖν· ἐγὼ κύριος ὁ θεὸς ὑμῶν. --  "", ""scripture_parashah"": ""Kedoshim"", ""sefer_hachinuch_number"": ""213"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Idolatry and Gentile Customs"", ""p119f_category"": ""Idolatry""}"
25,command,"{""﻿commandment_number"": ""25"", ""commandment_concept"": ""Do not follow the whims of your heart or what your eyes see "", ""commandment_polarity"": ""N"", ""reference_id"": ""NUM 15:39"", ""scripture_english"": ""\""It shall be a tassel for you to look at and remember all the commandments of the LORD, so as to do them and not follow after your own heart and your own eyes, after which you played the harlot,"", ""scripture_hebrew"": ""לט וְהָיָה לָכֶם, לְצִיצִת, וּרְאִיתֶם אֹתוֹ וּזְכַרְתֶּם אֶת-כָּל-מִצְו‍ֹת יְהוָה, וַעֲשִׂיתֶם אֹתָם; וְלֹא-תָתוּרוּ אַחֲרֵי לְבַבְכֶם, וְאַחֲרֵי עֵינֵיכֶם, אֲשֶׁר-אַתֶּם זֹנִים, אַחֲרֵיהֶם."", ""scripture_greek"": ""39 καὶ ἔσται ὑμῖν ἐν τοῖς κρασπέδοις καὶ ὄψεσθε αὐτὰ καὶ μνησθήσεσθε πασῶν τῶν ἐντολῶν κυρίου καὶ ποιήσετε αὐτὰς καὶ οὐ διαστραφήσεσθε ὀπίσω τῶν διανοιῶν ὑμῶν καὶ ὀπίσω τῶν ὀφθαλμῶν ὑμῶν, ἐν οἷς ὑμεῖς ἐκπορνεύετε ὀπίσω αὐτῶν,  "", ""scripture_parashah"": ""Shelach"", ""sefer_hachinuch_number"": ""387"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Idolatry and Gentile Customs"", ""p119f_category"": ""Morality""}"
26,command,"{""﻿commandment_number"": ""26"", ""commandment_concept"": ""Do not curse G-d "", ""commandment_polarity"": ""N"", ""reference_id"": ""EXO 22:28"", ""scripture_english"": ""\""You shall not curse God, nor curse a ruler of your people."", ""scripture_hebrew"": ""  אֱלֹהִים לֹא תְקַלֵּל וְנָשִׂיא בְעַמְּךָ לֹא תָאֹר׃ ‬"", ""scripture_greek"": ""22:27 θεοὺς οὐ κακολογήσεις καὶ ἄρχοντας τοῦ λαοῦ σου οὐ κακῶς ἐρεῖς"", ""scripture_parashah"": ""Mishpatim"", ""sefer_hachinuch_number"": ""70"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Idolatry and Gentile Customs"", ""p119f_category"": ""G-d""}"
27,command,"{""﻿commandment_number"": ""27"", ""commandment_concept"": ""Do not worship idols in the manner they are worshiped "", ""commandment_polarity"": ""N"", ""reference_id"": ""EXO 20:5"", ""scripture_english"": ""\""You shall not worship them or serve them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on the children, on the third and the fourth generations of those who hate Me,"", ""scripture_hebrew"": ""ד לֹא-תִשְׁתַּחֲוֶה לָהֶם, וְלֹא תָעָבְדֵם: כִּי אָנֹכִי יְהוָה אֱלֹהֶיךָ, אֵל קַנָּא--פֹּקֵד עֲו‍ֹן אָבֹת עַל-בָּנִים עַל-שִׁלֵּשִׁים וְעַל-רִבֵּעִים, לְשֹׂנְאָי."", ""scripture_greek"": ""5 οὐ προσκυνήσεις αὐτοῖς οὐδὲ μὴ λατρεύσῃς αὐτοῖς· ἐγὼ γάρ εἰμι κύριος ὁ θεός σου, θεὸς ζηλωτὴς ἀποδιδοὺς ἁμαρτίας πατέρων ἐπὶ τέκνα ἕως τρίτης καὶ τετάρτης γενεᾶς τοῖς μισοῦσίν με  "", ""scripture_parashah"": ""Yitro"", ""sefer_hachinuch_number"": ""28"", ""mishneh_torah_book_number"": ""1"", ""mishneh_torah_book_name"": ""Knowledge"", ""mishneh_torah_category"": ""Idolatry and Gentile Customs"", ""p119f_category"": ""Idolatry""}"
